seq,rtt_us,status,rxq_drops_delta
264,1507.932,ok,0
265,1513.092,ok,0
266,1513.372,ok,0
267,1513.642,ok,0
268,1485.370,ok,0
269,1404.499,ok,0
270,1391.585,ok,0
271,1395.982,ok,0
272,1395.201,ok,0
273,1437.760,ok,0
274,1391.434,ok,0
275,1391.354,ok,0
276,1386.846,ok,0
277,1395.451,ok,0
278,1394.159,ok,0
279,1392.506,ok,0
280,1389.711,ok,0
281,1401.193,ok,0
282,1390.943,ok,0
283,1389.070,ok,0
284,1389.140,ok,0
285,1414.026,ok,0
286,1400.391,ok,0
287,1388.389,ok,0
288,1390.883,ok,0
289,1390.572,ok,0
290,1389.500,ok,0
291,1388.910,ok,0
292,1392.717,ok,0
293,1391.334,ok,0
294,1389.230,ok,0
295,1388.970,ok,0
296,1392.506,ok,0
297,1410.400,ok,0
298,1391.414,ok,0
299,1388.940,ok,0
300,1380.073,ok,0
301,1377.908,ok,0
302,1390.813,ok,0
303,1389.711,ok,0
304,1390.602,ok,0
305,1390.483,ok,0
306,1390.052,ok,0
307,1392.346,ok,0
308,1389.931,ok,0
309,1390.082,ok,0
310,1390.612,ok,0
311,1390.542,ok,0
312,1390.672,ok,0
313,1389.290,ok,0
314,1390.271,ok,0
315,1400.341,ok,0
316,1390.632,ok,0
317,1392.796,ok,0
318,1391.133,ok,0
319,1395.702,ok,0
320,1398.657,ok,0
321,1393.959,ok,0
322,1390.282,ok,0
323,1388.769,ok,0
324,1401.793,ok,0
325,1391.454,ok,0
326,1392.946,ok,0
327,1388.438,ok,0
328,1391.674,ok,0
329,1393.007,ok,0
330,1391.284,ok,0
331,1390.542,ok,0
332,1392.205,ok,0
333,1390.011,ok,0
334,1418.926,ok,0
335,1390.582,ok,0
336,1390.082,ok,0
337,1390.162,ok,0
338,1390.271,ok,0
339,1388.268,ok,0
340,1391.243,ok,0
341,1390.592,ok,0
342,1392.496,ok,0
343,1389.249,ok,0
344,1390.101,ok,0
345,1389.070,ok,0
346,1393.848,ok,0
347,1394.089,ok,0
348,1390.783,ok,0
349,1392.085,ok,0
350,1390.482,ok,0
351,1389.170,ok,0
352,1394.750,ok,0
353,1389.661,ok,0
354,1389.881,ok,0
355,1388.959,ok,0
356,1389.450,ok,0
357,1402.655,ok,0
358,1399.749,ok,0
359,1441.558,ok,0
360,1386.875,ok,0
361,1388.087,ok,0
362,1394.349,ok,0
363,1389.420,ok,0
364,1390.342,ok,0
365,1390.392,ok,0
366,1390.062,ok,0
367,1387.647,ok,0
368,1426.320,ok,0
369,1411.812,ok,0
370,1393.378,ok,0
371,1455.283,ok,0
372,1432.301,ok,0
373,1401.433,ok,0
374,1395.672,ok,0
375,1392.536,ok,0
376,1392.315,ok,0
377,1391.184,ok,0
378,1391.584,ok,0
379,1390.723,ok,0
380,1390.773,ok,0
381,1393.247,ok,0
382,1395.662,ok,0
383,1428.243,ok,0
384,1398.207,ok,0
385,1390.312,ok,0
386,1390.132,ok,0
387,1390.292,ok,0
388,1391.073,ok,0
389,1391.564,ok,0
390,1390.853,ok,0
391,1389.971,ok,0
392,1386.084,ok,0
393,1391.124,ok,0
394,1390.953,ok,0
395,1394.439,ok,0
396,1391.033,ok,0
397,1394.710,ok,0
398,1393.898,ok,0
399,1389.981,ok,0
400,1390.632,ok,0
401,1384.952,ok,0
402,1400.131,ok,0
403,1390.562,ok,0
404,1391.784,ok,0
405,1399.188,ok,0
406,1392.727,ok,0
407,1394.420,ok,0
408,1399.239,ok,0
409,1389.741,ok,0
410,1389.531,ok,0
411,1388.659,ok,0
412,1391.614,ok,0
413,1392.166,ok,0
414,1392.105,ok,0
415,1393.398,ok,0
416,1416.551,ok,0
417,1388.899,ok,0
418,1389.270,ok,0
419,1390.122,ok,0
420,1393.138,ok,0
421,1393.428,ok,0
422,1392.386,ok,0
423,1390.853,ok,0
424,1394.300,ok,0
425,1389.451,ok,0
426,1390.653,ok,0
427,1389.060,ok,0
428,1389.310,ok,0
429,1394.049,ok,0
430,1390.612,ok,0
431,1393.748,ok,0
432,1443.832,ok,0
433,1391.514,ok,0
434,1388.278,ok,0
435,1388.068,ok,0
436,1389.560,ok,0
437,1392.846,ok,0
438,1389.901,ok,0
439,1389.080,ok,0
440,1389.390,ok,0
441,1389.139,ok,0
442,1391.514,ok,0
443,1389.841,ok,0
444,1398.848,ok,0
445,1427.572,ok,0
446,1394.850,ok,0
447,1388.679,ok,0
448,1389.030,ok,0
449,1388.629,ok,0
450,1398.357,ok,0
451,1392.877,ok,0
452,1390.001,ok,0
453,1390.382,ok,0
454,1402.444,ok,0
455,1388.859,ok,0
456,1408.757,ok,0
457,1389.039,ok,0
458,1392.516,ok,0
459,1389.019,ok,0
460,1398.537,ok,0
461,1389.580,ok,0
462,1393.407,ok,0
463,1390.853,ok,0
464,1390.442,ok,0
465,1389.380,ok,0
466,1402.154,ok,0
467,1391.634,ok,0
468,1394.660,ok,0
469,1439.033,ok,0
470,1415.138,ok,0
471,1389.661,ok,0
472,1389.590,ok,0
473,1390.562,ok,0
474,1389.120,ok,0
475,1398.107,ok,0
476,1390.172,ok,0
477,1388.979,ok,0
478,1391.213,ok,0
479,1421.049,ok,0
480,1401.262,ok,0
481,1419.216,ok,0
482,1390.813,ok,0
483,1388.048,ok,0
484,1390.553,ok,0
