seq,rtt_us,status,rxq_drops_delta
264,1411.732,ok,0
265,1419.637,ok,0
266,1452.448,ok,0
267,1416.511,ok,0
268,1452.859,ok,0
269,1413.846,ok,0
270,1427.953,ok,0
271,1424.165,ok,0
272,1422.191,ok,0
273,1421.230,ok,0
274,1384.922,ok,0
275,1403.927,ok,0
276,1392.036,ok,0
277,1451.927,ok,0
278,1452.178,ok,0
279,1429.475,ok,0
280,1439.704,ok,0
281,1423.364,ok,0
282,1416.771,ok,0
283,1436.809,ok,0
284,1403.607,ok,0
285,1379.832,ok,0
286,1378.270,ok,0
287,1412.073,ok,0
288,1640.831,ok,0
289,1400.181,ok,0
290,1381.556,ok,0
291,1463.829,ok,0
292,1443.341,ok,0
293,1398.727,ok,0
294,1382.577,ok,0
295,1389.380,ok,0
296,1435.576,ok,0
297,1418.344,ok,0
298,1407.043,ok,0
299,1384.431,ok,0
300,1496.180,ok,0
301,1447.088,ok,0
302,1435.587,ok,0
303,1453.139,ok,0
304,1411.121,ok,0
305,1418.534,ok,0
306,1420.188,ok,0
307,1434.584,ok,0
308,1406.933,ok,0
309,1422.432,ok,0
310,1416.331,ok,0
311,1397.024,ok,0
312,1412.815,ok,0
313,1404.709,ok,0
314,1441.497,ok,0
315,1401.603,ok,0
316,1426.710,ok,0
317,1415.298,ok,0
318,1461.134,ok,0
319,1383.159,ok,0
320,1383.309,ok,0
321,1420.799,ok,0
322,1404.388,ok,0
323,1675.676,ok,0
324,1395.872,ok,0
325,1701.634,ok,0
326,1459.972,ok,0
327,1425.497,ok,0
328,1419.837,ok,0
329,1422.392,ok,0
330,1423.394,ok,0
331,1413.696,ok,0
332,1395.622,ok,0
333,1450.234,ok,0
334,1409.047,ok,0
335,1388.278,ok,0
336,1374.412,ok,0
337,1437.731,ok,0
338,1434.574,ok,0
339,1441.788,ok,0
340,1424.305,ok,0
341,1417.012,ok,0
342,1423.304,ok,0
343,1550.662,ok,0
344,1390.422,ok,0
345,1417.203,ok,0
346,1539.411,ok,0
347,1415.358,ok,0
348,1399.018,ok,0
349,1440.175,ok,0
350,1408.155,ok,0
351,1421.581,ok,0
352,1427.592,ok,0
353,1441.859,ok,0
354,1447.138,ok,0
355,1387.246,ok,0
356,1355.116,ok,0
357,1374.041,ok,0
358,1443.070,ok,0
359,1413.074,ok,0
360,1424.686,ok,0
361,1452.138,ok,0
362,1429.535,ok,0
363,1392.856,ok,0
364,1419.216,ok,0
365,1398.467,ok,0
366,1730.048,ok,0
367,1392.646,ok,0
368,1387.206,ok,0
369,1377.277,ok,0
370,1429.075,ok,0
371,1410.379,ok,0
372,1454.292,ok,0
373,1438.452,ok,0
374,1425.858,ok,0
375,1405.370,ok,0
376,1438.102,ok,0
377,1453.481,ok,0
378,1431.008,ok,0
379,1390.653,ok,0
380,1386.815,ok,0
381,1533.189,ok,0
382,1431.389,ok,0
383,1409.328,ok,0
384,1439.815,ok,0
385,1460.684,ok,0
386,1382.017,ok,0
387,1419.757,ok,0
388,1437.631,ok,0
389,1397.115,ok,0
390,1368.871,ok,0
391,1396.353,ok,0
392,1388.078,ok,0
393,1548.268,ok,0
394,1398.818,ok,0
395,1387.897,ok,0
396,1403.697,ok,0
397,1391.194,ok,0
398,1408.195,ok,0
399,1403.316,ok,0
400,1409.939,ok,0
401,1665.587,ok,0
402,1446.818,ok,0
403,1386.104,ok,0
404,1396.443,ok,0
405,1432.250,ok,0
406,1443.271,ok,0
407,1455.624,ok,0
408,1430.427,ok,0
409,1420.478,ok,0
410,1437.060,ok,0
411,1394.249,ok,0
412,1408.566,ok,0
413,1403.025,ok,0
414,1410.710,ok,0
415,1379.682,ok,0
416,1402.084,ok,0
417,1383.399,ok,0
418,1450.244,ok,0
419,1449.082,ok,0
420,1409.859,ok,0
421,1421.661,ok,0
422,1380.263,ok,0
423,1425.869,ok,0
424,1394.379,ok,0
425,1424.996,ok,0
426,1443.922,ok,0
427,1458.229,ok,0
428,1391.344,ok,0
429,1407.975,ok,0
430,1441.488,ok,0
431,1424.225,ok,0
432,1436.839,ok,0
433,1410.811,ok,0
434,1448.360,ok,0
435,1432.300,ok,0
436,1431.048,ok,0
437,1402.866,ok,0
438,1394.239,ok,0
439,1404.448,ok,0
440,1410.510,ok,0
441,1426.620,ok,0
442,1496.921,ok,0
443,1431.639,ok,0
444,1423.764,ok,0
445,1421.450,ok,0
446,1435.226,ok,0
447,1412.794,ok,0
448,1463.218,ok,0
449,1414.888,ok,0
450,1378.680,ok,0
451,1533.089,ok,0
452,1378.910,ok,0
453,1427.972,ok,0
454,1432.501,ok,0
455,1405.771,ok,0
456,1417.353,ok,0
457,1418.585,ok,0
458,1394.640,ok,0
459,1375.103,ok,0
460,1418.986,ok,0
461,1395.071,ok,0
462,1371.206,ok,0
463,1522.730,ok,0
464,1386.074,ok,0
465,1436.168,ok,0
466,1440.937,ok,0
467,1434.104,ok,0
468,1432.801,ok,0
469,1428.313,ok,0
470,1422.653,ok,0
471,1394.690,ok,0
472,1417.282,ok,0
473,1410.009,ok,0
474,1402.775,ok,0
475,1433.503,ok,0
476,1392.075,ok,0
477,1458.760,ok,0
478,1440.276,ok,0
479,1397.114,ok,0
480,1433.142,ok,0
481,1430.346,ok,0
482,1439.524,ok,0
483,1407.504,ok,0
