seq,rtt_us,status,rxq_drops_delta
266,1412.814,ok,0
267,1395.802,ok,0
268,1390.382,ok,0
269,1390.632,ok,0
270,1390.913,ok,0
271,1398.127,ok,0
272,1391.715,ok,0
273,1390.062,ok,0
274,1391.814,ok,0
275,1399.770,ok,0
276,1388.619,ok,0
277,1404.518,ok,0
278,1394.670,ok,0
279,1389.140,ok,0
280,1393.859,ok,0
281,1460.603,ok,0
282,1402.264,ok,0
283,1395.762,ok,0
284,1392.286,ok,0
285,1395.221,ok,0
286,1397.745,ok,0
287,1391.094,ok,0
288,1388.790,ok,0
289,1389.691,ok,0
290,1392.315,ok,0
291,1423.013,ok,0
292,1389.470,ok,0
293,1390.552,ok,0
294,1388.338,ok,0
295,1392.196,ok,0
296,1394.840,ok,0
297,1391.264,ok,0
298,1390.051,ok,0
299,1394.250,ok,0
300,1390.462,ok,0
301,1390.082,ok,0
302,1389.861,ok,0
303,1393.758,ok,0
304,1389.781,ok,0
305,1392.125,ok,0
306,1391.193,ok,0
307,1392.055,ok,0
308,1390.061,ok,0
309,1388.990,ok,0
310,1393.958,ok,0
311,1390.121,ok,0
312,1390.172,ok,0
313,1390.492,ok,0
314,1397.035,ok,0
315,1392.476,ok,0
316,1393.298,ok,0
317,1393.758,ok,0
318,1390.252,ok,0
319,1398.657,ok,0
320,1388.649,ok,0
321,1389.681,ok,0
322,1390.513,ok,0
323,1407.535,ok,0
324,1390.422,ok,0
325,1398.337,ok,0
326,1392.235,ok,0
327,1394.129,ok,0
328,1391.975,ok,0
329,1391.074,ok,0
330,1390.061,ok,0
331,1398.207,ok,0
332,1392.426,ok,0
333,1393.839,ok,0
334,1390.071,ok,0
335,1389.029,ok,0
336,1393.217,ok,0
337,1388.318,ok,0
338,1388.238,ok,0
339,1400.440,ok,0
340,1392.486,ok,0
341,1390.693,ok,0
342,1388.588,ok,0
343,,timeout,0
344,1557.706,ok,0
345,1983.983,ok,0
346,1532.247,ok,0
347,1778.118,ok,0
348,1532.528,ok,0
349,1582.962,ok,0
350,1549.220,ok,0
351,1840.104,ok,0
352,1562.744,ok,0
353,1845.073,ok,0
354,1564.297,ok,0
355,,timeout,0
356,1585.347,ok,0
357,1553.678,ok,0
358,1846.305,ok,0
359,1550.151,ok,0
360,,timeout,0
361,1569.698,ok,0
362,1544.040,ok,0
363,1551.033,ok,0
364,1534.231,ok,0
365,1544.511,ok,0
366,1889.236,ok,0
367,1565.329,ok,0
368,1545.282,ok,0
369,1857.687,ok,0
370,1563.126,ok,0
371,1543.919,ok,0
372,1905.516,ok,0
373,1492.684,ok,0
374,1463.930,ok,0
375,1467.427,ok,0
376,1460.243,ok,0
377,1470.943,ok,0
378,1460.393,ok,0
379,1476.793,ok,0
380,1409.648,ok,0
381,1473.077,ok,0
382,1462.226,ok,0
383,1462.568,ok,0
384,1518.432,ok,0
385,1444.624,ok,0
386,1457.317,ok,0
387,1490.469,ok,0
388,1436.518,ok,0
389,1465.222,ok,0
390,1391.955,ok,0
391,1422.533,ok,0
392,1440.777,ok,0
393,1435.016,ok,0
394,1437.069,ok,0
395,1433.863,ok,0
396,1437.440,ok,0
397,1434.564,ok,0
398,1437.700,ok,0
399,1437.871,ok,0
400,1437.250,ok,0
401,1451.777,ok,0
402,1431.800,ok,0
403,1434.625,ok,0
404,1437.811,ok,0
405,,timeout,0
406,1598.100,ok,0
407,2150.244,ok,0
408,1574.907,ok,0
409,1503.975,ok,0
410,1564.287,ok,0
411,1548.708,ok,0
412,1538.790,ok,0
413,1501.370,ok,0
414,1797.794,ok,0
415,1511.288,ok,0
416,1559.088,ok,0
417,1735.989,ok,0
418,1539.301,ok,0
419,1550.091,ok,0
420,1978.743,ok,0
421,1924.763,ok,0
422,1466.013,ok,0
423,1839.934,ok,0
424,1504.326,ok,0
425,1686.155,ok,0
426,1561.422,ok,0
427,2050.438,ok,0
428,1509.826,ok,0
429,1493.585,ok,0
430,1427.040,ok,0
431,1399.930,ok,0
432,1392.736,ok,0
433,1427.281,ok,0
434,1433.703,ok,0
435,1440.676,ok,0
436,1403.867,ok,0
437,1428.092,ok,0
438,1436.669,ok,0
439,1438.351,ok,0
440,1457.808,ok,0
441,1449.202,ok,0
442,1440.516,ok,0
443,1435.156,ok,0
444,1436.027,ok,0
445,1432.491,ok,0
446,1436.849,ok,0
447,1441.237,ok,0
448,1398.908,ok,0
449,1393.949,ok,0
450,1391.604,ok,0
451,1409.538,ok,0
452,1423.735,ok,0
453,1435.947,ok,0
454,1432.351,ok,0
455,1431.119,ok,0
456,1426.740,ok,0
457,1399.489,ok,0
458,1422.292,ok,0
459,1422.873,ok,0
460,1431.809,ok,0
461,1429.315,ok,0
462,1400.832,ok,0
463,1422.572,ok,0
464,1431.869,ok,0
465,1433.303,ok,0
466,1435.767,ok,0
467,1434.334,ok,0
468,1435.727,ok,0
469,1432.180,ok,0
470,,timeout,0
471,1578.645,ok,0
472,1546.774,ok,0
473,1927.116,ok,0
474,1561.222,ok,0
475,1545.642,ok,0
476,1538.198,ok,0
477,1476.202,ok,0
478,1846.556,ok,0
479,1505.958,ok,0
480,1730.558,ok,0
481,1531.236,ok,0
482,1545.462,ok,0
483,1537.738,ok,0
484,1506.339,ok,0
485,1839.663,ok,0
486,1475.522,ok,0
487,1708.347,ok,0
488,1526.136,ok,0
489,1932.757,ok,0
490,1527.158,ok,0
491,1793.025,ok,0
492,1475.241,ok,0
493,1449.563,ok,0
494,1826.288,ok,0
495,1517.380,ok,0
496,1705.181,ok,0
497,1542.346,ok,0
498,1472.205,ok,0
499,1518.111,ok,0
500,1546.033,ok,0
501,1728.615,ok,0
502,1544.130,ok,0
503,1736.680,ok,0
504,1554.890,ok,0
505,1498.424,ok,0
506,1824.294,ok,0
507,1540.803,ok,0
508,,timeout,0
509,1595.065,ok,0
510,1933.097,ok,0
511,1563.756,ok,0
512,2160.624,ok,0
513,1566.892,ok,0
514,1548.367,ok,0
515,1514.093,ok,0
516,1712.505,ok,0
517,1735.648,ok,0
518,1542.997,ok,0
519,1726.731,ok,0
520,1538.189,ok,0
521,1551.504,ok,0
522,1879.828,ok,0
523,1557.364,ok,0
524,1778.508,ok,0
525,1538.419,ok,0
526,1462.637,ok,0
527,1451.136,ok,0
528,1827.019,ok,0
529,1495.700,ok,0
530,1453.440,ok,0
531,1514.916,ok,0
532,1545.693,ok,0
533,1451.246,ok,0
534,1449.222,ok,0
535,1538.359,ok,0
536,1497.021,ok,0
537,1403.386,ok,0
538,1421.871,ok,0
539,1434.645,ok,0
540,1438.603,ok,0
541,1399.199,ok,0
542,1430.417,ok,0
543,1437.821,ok,0
544,1440.596,ok,0
545,1451.387,ok,0
546,1406.332,ok,0
547,1433.162,ok,0
548,1433.292,ok,0
549,1412.143,ok,0
550,1511.819,ok,0
551,1500.188,ok,0
552,1511.289,ok,0
553,,timeout,0
554,1935.963,ok,0
555,1899.676,ok,0
556,1814.065,ok,0
557,1829.694,ok,0
558,1501.230,ok,0
559,1508.733,ok,0
560,1486.362,ok,0
561,1513.082,ok,0
562,1514.354,ok,0
563,1573.665,ok,0
564,1491.201,ok,0
565,1483.597,ok,0
566,1400.281,ok,0
567,1392.937,ok,0
568,1395.531,ok,0
569,1392.626,ok,0
570,1397.455,ok,0
571,1391.514,ok,0
572,1382.728,ok,0
573,1388.509,ok,0
574,1389.571,ok,0
575,1391.224,ok,0
576,1393.659,ok,0
577,1396.504,ok,0
578,1395.471,ok,0
579,1395.601,ok,0
580,1392.977,ok,0
581,1395.431,ok,0
582,1390.022,ok,0
583,1396.594,ok,0
584,1391.313,ok,0
585,1393.217,ok,0
586,1390.512,ok,0
587,1390.152,ok,0
588,1396.132,ok,0
589,1392.356,ok,0
590,1386.494,ok,0
591,1389.811,ok,0
592,1379.482,ok,0
593,1390.272,ok,0
594,1390.472,ok,0
595,1389.851,ok,0
596,1392.526,ok,0
597,1390.352,ok,0
598,1389.130,ok,0
599,1391.013,ok,0
600,1389.130,ok,0
601,1394.470,ok,0
602,1391.564,ok,0
603,1393.868,ok,0
604,1390.722,ok,0
605,1392.105,ok,0
606,1398.868,ok,0
607,1391.293,ok,0
608,1389.290,ok,0
609,1399.128,ok,0
610,1382.638,ok,0
611,1377.538,ok,0
612,1430.678,ok,0
613,1463.338,ok,0
614,1394.489,ok,0
615,1391.434,ok,0
616,1388.278,ok,0
617,1392.116,ok,0
618,1390.322,ok,0
619,1391.364,ok,0
620,1391.324,ok,0
621,1396.674,ok,0
622,1389.921,ok,0
623,1391.214,ok,0
624,1390.132,ok,0
625,1404.669,ok,0
626,1403.156,ok,0
627,1391.544,ok,0
628,1388.719,ok,0
629,1391.003,ok,0
630,1395.672,ok,0
631,1391.393,ok,0
632,1390.482,ok,0
633,1394.490,ok,0
634,1392.726,ok,0
635,1389.670,ok,0
636,1393.628,ok,0
637,1389.701,ok,0
638,1390.432,ok,0
639,1392.526,ok,0
640,1390.152,ok,0
641,1393.558,ok,0
642,1392.476,ok,0
643,1391.444,ok,0
644,1396.584,ok,0
645,1390.161,ok,0
646,1388.599,ok,0
647,1390.072,ok,0
648,1385.243,ok,0
649,1395.432,ok,0
650,1394.300,ok,0
651,1390.803,ok,0
652,1389.621,ok,0
653,1390.332,ok,0
654,,timeout,0
655,1924.252,ok,0
656,1893.243,ok,0
657,1936.164,ok,0
658,1801.401,ok,0
659,1521.116,ok,0
660,1508.023,ok,0
661,1892.642,ok,0
662,1975.728,ok,0
663,1528.501,ok,0
664,1517.680,ok,0
665,1512.731,ok,0
666,1514.735,ok,0
667,1481.272,ok,0
668,1439.695,ok,0
669,,timeout,0
670,1842.558,ok,0
671,1976.499,ok,0
672,1530.755,ok,0
673,1476.683,ok,0
674,1772.287,ok,0
675,1806.390,ok,0
676,1564.197,ok,0
677,1915.686,ok,0
678,2014.580,ok,0
